,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region,ref,date
0,China,72436,"+1,888",1868.0,98.0,12552.0,11741.0,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
1,Diamond Princess,454,,,,17.0,19.0,,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
2,Singapore,77,,,,24.0,4.0,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
3,Japan,66,,1.0,,18.0,19.0,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
4,Hong Kong,60,,1.0,,2.0,7.0,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
5,Thailand,35,,,,15.0,2.0,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
6,S. Korea,30,,,,10.0,,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
7,Taiwan,22,,1.0,,2.0,,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
8,Malaysia,22,,,,9.0,,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
9,Vietnam,16,,,,7.0,,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
10,Germany,16,,,,7.0,,Europe,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
11,USA,15,,,,3.0,,N.America,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
12,Australia,15,,,,10.0,,Oceania,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
13,France,12,,1.0,,5.0,,Europe,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
14,Macao,10,,,,5.0,,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
15,U.K.,9,,,,8.0,,Europe,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
16,U.A.E.,9,,,,3.0,1.0,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
17,Canada,8,,,,1.0,,N.America,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
18,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
19,Italy,3,,,,,2.0,Europe,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
20,India,3,,,,3.0,,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
21,Russia,2,,,,2.0,,Europe,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
22,Spain,2,,,,2.0,,Europe,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
23,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
24,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
25,Nepal,1,,,,1.0,,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
26,Belgium,1,,,,1.0,,Europe,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
27,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
28,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
29,Egypt,1,,,,,,Africa,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17
